name,adcode,lisa
六安,341500,LL
合肥,340100,LL
安庆,340800,LL
宣城,341800,HH
宿州,341300,HH
亳州,341600,HL
池州,341700,HL
淮北,340600,HH
淮南,340400,HL
滁州,341100,LL
芜湖,340200,LH
蚌埠,340300,HL
铜陵,340700,HL
阜阳,341200,LH
马鞍山,340500,LL
黄山,341000,HH
三门峡,411200,HH
信阳,411500,HH
南阳,411300,HH
周口,411600,HL
商丘,411400,LL
安阳,410500,HH
平顶山,410400,LL
开封,410200,LL
新乡,410700,HH
洛阳,410300,HL
漯河,411100,LL
濮阳,410900,LH
焦作,410800,LH
许昌,411000,LL
郑州,410100,LL
驻马店,411700,HH
鹤壁,410600,HL
南京,320100,LH
南通,320600,LL
宿迁,321300,HL
常州,320400,LL
徐州,320300,LH
扬州,321000,HL
无锡,320200,LH
泰州,321200,LL
淮安,320800,HH
盐城,320900,LH
苏州,320500,HL
连云港,320700,HH
镇江,321100,LL
东营,370500,HH
临沂,371300,HH
威海,371000,LL
德州,371400,HL
日照,371100,HH
枣庄,370400,HL
泰安,370900,LL
济南,370100,LH
济宁,370800,LL
淄博,370300,HH
滨州,371600,HL
潍坊,370700,LH
烟台,370600,LL
聊城,371500,LL
菏泽,371700,HL
青岛,370200,LL
